Web,Código,Descripción,Precio,Relación,Medida,Código Companía,Companía,Existencia,Loc : Habilitado,Loc : Autorizado,CodigoProducto,Producto,Peligrosidad,ONU,Cant Pallet,CodigoTipo,Subtipo,CodigoRubro,Tipo,Rubro,Descrip.Facturacion,Ferti Bolsa Granel,DivDepo,Densidad
1,14,DAP Profertil (Granel),0,1,Tn.,7,PROFERTIL S.A.,0,1,0,467,DAP,0,0,0,58,SOLIDO GRANEL,2,FOSFORADO,FERTILIZANTES,DAP,Granel,Sem;Fert;SB,1000
0,15,MAP Petrobras (Granel),0,1,Tn.,8,PETROBRAS ENERGIA S.A.,0,0,0,468,MAP,0,0,0,58,SOLIDO GRANEL,2,FOSFORADO,FERTILIZANTES,MAP,Granel,Sem;Fert;SB,1000
0,16,UG Profertil (Bolsa x 50 Kgs),0,0.05,Tn.,7,PROFERTIL S.A.,0,1,0,481,UREA GRANULADA,0,0,0,59,SOLIDO BOLSA,2,NITROGENADO,FERTILIZANTES,UG,,Sem;Fert;SB,1000
1,17,UG Profertil (Granel),0,1,Tn.,7,PROFERTIL S.A.,0,1,0,485,UREA GRANULADA,0,0,0,59,SOLIDO GRANEL,2,NITROGENADO,FERTILIZANTES,UG,Granel,Sem;Fert;SB,1000
1,18,KING LIX (Bolsa x 5 Kgs),0,5,Kgs.,5,CHEMINOVA AGRO DE ARGENTINA SA,0,1,0,384,"2,4 D SOLIDO",3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,KING,,Ag;Co;TS;Va,1
0,19,WEEDONE (Bidon x 10 lts),0,10,Lts.,43,NUFARM S.A.,0,0,0,40,"2,4 D LIQUIDO",2,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,WEEDONE,,Ag;Co;TS;Va,1
1,20,DMA (Bidon x 10 lts),0,10,Lts.,105,CORTEVA,0,0,0,41,"2,4 D SAL AMINA",2,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,DMA,,Ag;Co;TS;Va,1
1,21,ESTERON ULTRA - B.Amarilla (Bid x 10 lts,0,10,Lts.,105,CORTEVA,0,0,0,40,"2,4 D LIQUIDO",2,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,ESTERON,,Ag;Co;TS;Va,1
1,22,HERBIFEN SUPER (Bidon x 10 lts),0,10,Lts.,2,ATANOR S.A.C.,0,0,0,40,"2,4 D LIQUIDO",3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,HERBIFEN,,Ag;Co;TS;Va,1
1,23,NO VOLATIL ATAN -B.Amarilla (Bid x 20 lt,0,20,Lts.,2,ATANOR S.A.C.,0,1,0,41,"2,4 D SAL AMINA",2,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,NO VOLATIL,,Ag;Co;TS;Va,1
0,24,BUTOXONE E (Bidon x 10 lts),0,10,Lts.,43,NUFARM S.A.,0,0,0,42,"2,4 DB",3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,BUTOXONE,,Ag;Co;TS;Va,1.14
1,25,VENCEWEED EXTRA 100 -B.Amarilla (x10lts),0,10,Lts.,2,ATANOR S.A.C.,0,1,0,42,"2,4 DB",3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,VENCEWEED,,Ag;Co;TS;Va,1.14
1,26,VENCEWEED AMINA 50 (Bidon x 20 lts),0,20,Lts.,2,ATANOR S.A.C.,0,0,0,43,"2,4 DB SAL AMINA",3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,VENCEWEED,,Ag;Co;TS;Va,1
1,27,PRODIGIO 60 SC (Bidon 5 lts),0,5,Lts.,20,BAYER S.A.,0,1,0,45,ACLONIFEN,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,PRODIGIO,,Ag;Co;TS;Va,1
1,28,TRONADOR MAX (Sachet),0,1,Unid.,105,CORTEVA,0,0,0,46,AMINOPYRALID METSULFURON METIL,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,TRONADOR,,Ag;Co;TS;Va,1
1,29,BASAGRAN 60 S - B.Amarilla (Bidon 5 lts),0,5,Lts.,4,BASF ARGENTINA S.A.,0,1,0,49,BENTAZON,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,BASAGRAN,,Ag;Co;TS;Va,1
1,30,BROMOTRIL - B.Amarilla (Bidon 5 lts),0,5,Lts.,37,ADAMA ARGENTINA S.A.,0,1,0,50,BROMOXINIL,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,BROMOTRIL,,Ag;Co;TS;Va,1
1,31,SELECT 240 EC (Bidon x 10 lts),0,10,Lts.,20,BAYER S.A.,0,1,0,51,CLETODIM,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,SELECT,,Ag;Co;TS;Va,1
1,32,LONTREL - B.Amarilla (Bidon 1 lt),0,1,Lts.,105,CORTEVA,0,1,0,52,CLOPYRALID,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,LONTREL,,Ag;Co;TS;Va,1
1,33,DICAMBA ALVOR (Bidon 5 lts),0,5,Lts.,16,ALVOR S.R.L.,0,0,0,54,DICAMBA,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,DICAMBA,,Ag;Co;TS;Va,1.57
1,34,DICAMBA ATANOR (Bidon 5 lts),0,5,Lts.,2,ATANOR S.A.C.,0,0,0,54,DICAMBA,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,DICAMBA,,Ag;Co;TS;Va,1.57
1,35,DOMBELL 48 SL (Bidon 5 lts),0,5,Lts.,13,AGRO MAX S.R.L.,0,0,0,54,DICAMBA,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,DOMBELL,,Ag;Co;TS;Va,1.57
1,36,PHILCAMBA (Bidon 5 lts),0,5,Lts.,44,PHILAGRO S.A.,0,0,0,54,DICAMBA,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,PHILCAMBA,,Ag;Co;TS;Va,1.57
1,37,ILOXAN (Bidon x 20 lts),0,20,Lts.,20,BAYER S.A.,0,0,0,55,DICLOFOP METIL,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,ILOXAN,,Ag;Co;TS;Va,1
1,38,PUMA-S (Bidon 5 lts),0,5,Lts.,20,BAYER S.A.,0,0,0,58,FENOXAPROP-P-ETIL,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,PUMA-S,,Ag;Co;TS;Va,1
1,39,STARANE (Bidon 5 lts),0,5,Lts.,105,CORTEVA,0,0,0,63,FLUROXYPYR,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,STARANE,,Ag;Co;TS;Va,1
1,40,STARANE XTRA - B.Verde (Bidon 5 lts),0,5,Lts.,105,CORTEVA,0,1,0,63,FLUROXYPYR,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,STARANE,,Ag;Co;TS;Va,1.1
1,41,EQUIP WG (Caja p/ 5 Has),0,1,Pack,20,BAYER S.A.,0,1,0,64,FORAMSULFURON IODOSULFURON MS,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,EQUIP,,Ag;Co;TS;Va,5
1,42,GLIFOSATO II (Bidon x 20 lts),0,20,Lts.,2,ATANOR S.A.C.,0,1,0,65,GLIFOSATO,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,GLIFOSATO,,Ag;Co;TS;Va,1
1,43,PANZER (Bidon x 20 lts),0,20,Lts.,105,CORTEVA,0,0,0,65,GLIFOSATO,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,PANZER,,Ag;Co;TS;Va,1
1,44,PANZER GOLD - B.Verde (Bidon x 20 lts),0,20,Lts.,105,CORTEVA,0,1,0,65,GLIFOSATO,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,PANZER,,Ag;Co;TS;Va,1.15
1,45,MESTIZO - B.Azul (Bidon x 20 lts),0,20,Lts.,2,ATANOR S.A.C.,0,1,0,66,"GLIFOSATO 2,4 D",3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,MESTIZO,,Ag;Co;TS;Va,1
1,46,ALTEZA (Bidon x 20 lts),0,20,Lts.,4,BASF ARGENTINA S.A.,0,0,0,67,GLIFOSATO IMAZETAPYR,2,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,Alteza,,Ag;Co;TS;Va,1
1,47,GALANT R (Bidon 5 lts),0,5,Lts.,105,CORTEVA,0,0,0,68,HALOXIFOP-R-METIL,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,GALANT,,Ag;Co;TS;Va,1
1,48,GALANT R LPU - B.Azul (Bidon x 20 lts),0,20,Lts.,105,CORTEVA,0,1,0,68,HALOXIFOP-R-METIL,2,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,GALANT,,Ag;Co;TS;Va,1
1,49,MIRAGE (Bidon 5 lts),0,5,Lts.,105,CORTEVA,0,0,0,68,HALOXIFOP-R-METIL,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,MIRAGE,,Ag;Co;TS;Va,1
1,50,HUSSAR OD (Pack p/10 has),0,1,Pack,20,BAYER S.A.,0,0,0,74,IODOSOLFURON MS METSULFURON ME,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,HUSSAR,,Ag;Co;TS;Va,5
1,51,M.C.P.A  ATANOR - B.Azul (Bidon x 10lts),0,10,Lts.,2,ATANOR S.A.C.,0,0,0,76,M.C.P.A,2,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,M.C.P.A,,Ag;Co;TS;Va,1
1,52,KOLTAR - B.Azul (Bidon 1 lt),0,1,Lts.,105,CORTEVA,0,1,0,79,OXIFLUORFEN,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,KOLTAR,,Ag;Co;TS;Va,1
1,53,GRAMOXONE SUPER (Bidon 5 lts),0,5,Lts.,50,SYNGENTA S.A.,0,0,0,80,PARAQUAT,1,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,GRAMOXONE,,Ag;Co;TS;Va,1.25
0,54,PARAQUAT NUFARM (Bidon 5 lts),0,5,Lts.,43,NUFARM S.A.,0,0,0,80,PARAQUAT,2,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,PARAQUAT,,Ag;Co;TS;Va,1.25
1,55,FOREMAN (Bidon 5 lts),0,5,Lts.,5,CHEMINOVA AGRO DE ARGENTINA SA,0,0,0,81,PARAQUAT DICLORURO,2,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,FOREMAN,,Ag;Co;TS;Va,1.25
1,56,TORDON 24 K - B.Azul (Bidon 5 lts),0,5,Lts.,105,CORTEVA,0,1,0,83,PICLORAM,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,TORDON,,Ag;Co;TS;Va,1.1
0,57,COMBO (4 PACK x caja),0,1,Pack,105,CORTEVA,0,0,0,84,PICLORAM METSULFURON METIL,2,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,COMBO,,Ag;Co;TS;Va,1.1
1,58,TOGAR BT - B.Azul (Bidon 1 lt),0,1,Lts.,105,CORTEVA,0,1,0,85,PICLORAM TRICLOPYR,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,TOGAR,,Ag;Co;TS;Va,1.1
1,59,TOGAR BT - B.Azul (Bidon 5 lt),0,5,Lts.,105,CORTEVA,0,1,0,85,PICLORAM TRICLOPYR,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,TOGAR,,Ag;Co;TS;Va,1.1
1,60,TOCON - B.Amarilla (Bidon 1 lt),0,1,Lts.,105,CORTEVA,0,1,0,85,PICLORAM TRICLOPYR,4,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,TOCON,,Ag;Co;TS;Va,1.1
0,61,AGIL (Bidon 5 lts),0,5,Lts.,37,ADAMA ARGENTINA S.A.,0,0,0,87,PROPAQUIZAFOP,3,0,0,5,AL FOLLAJE,1,HERBICIDAS,AGROQUIMICOS,Agil,,Ag;Co;TS;Va,1
1,62,SURPASS EC (Bidon x 20 lts),0,20,Lts.,105,CORTEVA,0,1,0,44,ACETOCLOR,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,SURPASS,,Ag;Co;TS;Va,1.1
1,63,TROPHY (Bidon x 20 lts),0,20,Lts.,105,CORTEVA,0,1,0,44,ACETOCLOR,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,TROPHY,,Ag;Co;TS;Va,1.1
0,64,BICEP PACK (Pack),0,1,Pack,50,SYNGENTA S.A.,0,0,0,47,ATRAZINA S-METOLACLORO,3,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,BICEP,,Ag;Co;TS;Va,5
1,65,ATRANEX 90 WG - B.Verde (Bolsa x 15 Kgs),0,15,Kgs.,37,ADAMA ARGENTINA S.A.,0,1,0,380,ATRAZINA SOLIDA,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,Atranex,,Ag;Co;TS;Va,1
1,66,TRAC 50 FL - B.Amarilla (Bidon x 20 lts),0,20,Lts.,2,ATANOR S.A.C.,0,1,0,48,ATRAZINA LIQUIDA,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,TRAC,,Ag;Co;TS;Va,1.19
1,67,GESAPRIM 90 WDG (Bolsa x 10 Kgs),0,10,Kgs.,50,SYNGENTA S.A.,0,1,0,380,ATRAZINA SOLIDA,3,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,GESAPRIM,,Ag;Co;TS;Va,1
1,68,CLORIMURON 25 ALVOR (Sobre x 400 Grs),0,0.4,Kgs.,16,ALVOR S.R.L.,0,0,0,53,CLORIMURON ETIL,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,CLORIMURON,,Ag;Co;TS;Va,1
1,69,ASTON 25 (Sobre x 400 Grs),0,0.4,Kgs.,16,ALVOR S.R.L.,0,0,0,53,CLORIMURON ETIL,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,Aston,,Ag;Co;TS;Va,1
1,70,BACKUP 25% (Sobre x 400 Grs),0,0.4,Kgs.,5,CHEMINOVA AGRO DE ARGENTINA SA,0,1,0,53,CLORIMURON ETIL,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,BACKUP,,Ag;Co;TS;Va,1
1,71,VRILEC 25% (Sobre x 200 Grs),0,0.2,Kgs.,13,AGRO MAX S.R.L.,0,0,0,53,CLORIMURON ETIL,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,VRILEC,,Ag;Co;TS;Va,1
1,72,SPIDER  - B.Azul (Sobre x 500 Grs),0,0.5,Kgs.,105,CORTEVA,0,1,0,56,DICLOSULAM,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,SPIDER,,Ag;Co;TS;Va,1
1,73,BRODAL 50 SC (Bidon 1 lt),0,1,Lts.,20,BAYER S.A.,0,1,0,57,DIFLUFENICAM,3,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,BRODAL,,Ag;Co;TS;Va,1
1,74,LEGACY - B.Azul (Bidon 5 lts),0,5,Lts.,37,ADAMA ARGENTINA S.A.,0,1,0,57,DIFLUFENICAM,3,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,LEGACY,,Ag;Co;TS;Va,1
1,75,PRESIDE - B.Azul (Bidon 5 lts),0,5,Lts.,105,CORTEVA,0,1,0,59,FLUMETSULAN LIQUIDO,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,PRESIDE,,Ag;Co;TS;Va,1
1,76,PRESIDE WDG (Sobre x 750 Grs),0,0.75,Kgs.,105,CORTEVA,0,0,0,381,FLUMETSULAN SOLIDO,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,PRESIDE,,Ag;Co;TS;Va,1
1,77,RAINBOW - B.Azul (Bidon x 10 lts),0,10,Lts.,37,ADAMA ARGENTINA S.A.,0,1,0,61,FLUROCLORIDONA,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,RAINBOW,,Ag;Co;TS;Va,1
1,78,ONDUTY  - B.Azul (Pack p/5 has),0,1,Pack,4,BASF ARGENTINA S.A.,0,1,0,69,IMAZAPIC IMAZAPYR,3,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,ONDUTY,,Ag;Co;TS;Va,5
1,79,DINAMAZ (Bidon 5 lts),0,5,Lts.,5,CHEMINOVA AGRO DE ARGENTINA SA,0,0,0,70,IMAZETAPYR,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,DINAMAZ,,Ag;Co;TS;Va,1
0,80,IMIZET ACA 10 (Bidon x 20 lts),0,20,Lts.,90,ALVOR S.R.L.,0,0,0,70,IMAZETAPYR,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,IMIZET,,Ag;Co;TS;Va,1
1,81,PIVOT - B.Verde  (Bidon 5 lts),0,5,Lts.,4,BASF ARGENTINA S.A.,0,1,0,70,IMAZETAPYR,3,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,PIVOT,,Ag;Co;TS;Va,1
1,82,VEROSIL (Bidon x 20 lts),0,20,Lts.,13,AGRO MAX S.R.L.,0,0,0,70,IMAZETAPYR,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,VEROSIL,,Ag;Co;TS;Va,1
1,83,VEZIR (Bidon 5 lts),0,5,Lts.,37,ADAMA ARGENTINA S.A.,0,0,0,70,IMAZETAPYR,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,VEZIR,,Ag;Co;TS;Va,1
1,84,LIGHTNING (Sobre x 114 Grs),0,1,Unid.,4,BASF ARGENTINA S.A.,0,0,0,71,IMAZETAPYR IMAZAPYR,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,LIGHTNING,,Ag;Co;TS;Va,0.114
1,85,ARSENAL (Bidon 1 lt),0,1,Lts.,4,BASF ARGENTINA S.A.,0,1,0,73,IMAZAPYR,3,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,Arsenal,,Ag;Co;TS;Va,1
1,86,CLEARSOL DOW (Pack p/6has),0,1,Pack,105,CORTEVA,0,1,0,73,IMAZAPYR,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,CLEARSOL,,Ag;Co;TS;Va,5
1,87,METOLAGAN 96% EC - B.Azul (Bidon x 10 l),0,10,Lts.,37,ADAMA ARGENTINA S.A.,0,1,0,77,METOLACLORO,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,METOLAGAN,,Ag;Co;TS;Va,1.12
1,88,METSULFURON SUMAGRO (Sobre x 100 Grs),0,0.1,Kgs.,13,AGRO MAX S.R.L.,0,0,0,78,METSULFURON METIL,3,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,METSULFURON,,Ag;Co;TS;Va,1
1,89,"TRITICAS 60% (Sobre x 0,05 Kgs)",0,0.05,Kgs.,5,CHEMINOVA AGRO DE ARGENTINA SA,0,0,0,78,METSULFURON METIL,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,TRITICAS,,Ag;Co;TS;Va,1
1,90,HERBADOX 33 E (Bidon x 10 lts),0,10,Lts.,4,BASF ARGENTINA S.A.,0,0,0,82,PENDIMETALIN,3,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,HERBADOX,,Ag;Co;TS;Va,1
1,91,PROMETREX FW (Bidon 5 lts),0,5,Lts.,37,ADAMA ARGENTINA S.A.,0,0,0,86,PROMETRINA,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,PROMETREX,,Ag;Co;TS;Va,1
1,92,SIPCAPRIN 50% (Bidon 5 lts),0,5,Lts.,5,CHEMINOVA AGRO DE ARGENTINA SA,0,0,0,86,PROMETRINA,2,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,SIPCAPRIN,,Ag;Co;TS;Va,1
0,93,DUALD GOLD (Bidon x 6.5lts),0,6.5,Lts.,50,SYNGENTA S.A.,0,1,0,88,S-METOLACLORO,3,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,DUALD,,Ag;Co;TS;Va,1.105
0,94,DUALD GOLD (Bidon 5 lts),0,5,Lts.,50,SYNGENTA S.A.,0,0,0,88,S-METOLACLORO,3,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,DUALD,,Ag;Co;TS;Va,1.105
1,95,AUTHORITY - B.Amarilla (Bidon 5 lts),0,5,Lts.,105,CORTEVA,0,1,0,89,SULFENTRAZONE,2,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,AUTHORITY,,Ag;Co;TS;Va,1.21
1,96,PREMERGE (Bidon x 20 lts),0,20,Lts.,37,ADAMA ARGENTINA S.A.,0,0,0,90,TRIFURALINA,4,0,0,5,AL SUELO,1,HERBICIDAS,AGROQUIMICOS,PREMERGE,,Ag;Co;TS;Va,1
0,97,SULFAMMO PLUS (Bolsa x 50 Kgs),0,0.05,Tn.,47,ROULLIER ARGENTINA S.A.,0,0,0,480,SULFAMMO,0,0,0,59,SOLIDO BOLSA,2,NITROGENADO,FERTILIZANTES,SULFAMMO,,Sem;Fert;SB,1000
1,98,VANTAL FORTE (Bidon 1 lt),0,1,Lts.,5,CHEMINOVA AGRO DE ARGENTINA SA,0,1,0,91,ABAMECTINA,1,0,0,6,BIOLOGICOS,1,INSECTICIDAS,AGROQUIMICOS,VANTAL,,Ag;Co;TS;Va,1
1,99,INTREPID SC (Bidon 1 lt),0,1,Lts.,105,CORTEVA,0,0,0,92,METOXIFENOCIDE,4,0,0,6,BIOLOGICOS,1,INSECTICIDAS,AGROQUIMICOS,INTREPID,,Ag;Co;TS;Va,1
1,100,INTREPID SC - B.Verde (Bidon 5 lts),0,5,Lts.,105,CORTEVA,0,1,0,92,METOXIFENOCIDE,4,0,0,6,BIOLOGICOS,1,INSECTICIDAS,AGROQUIMICOS,INTREPID,,Ag;Co;TS;Va,1
1,101,THIONEX - L (Bidon x 20 lts),0,20,Lts.,37,ADAMA ARGENTINA S.A.,0,1,0,93,ENDOSULFAN,3,0,0,6,ORGANOCLORADOS,1,INSECTICIDAS,AGROQUIMICOS,THIONEX,,Ag;Co;TS;Va,1
1,102,GANGSTER (Sobre x 500 Grs),0,0.5,Kgs.,5,CHEMINOVA AGRO DE ARGENTINA SA,0,1,0,94,ACEFATO,4,0,0,6,ORGANOFOSFORADOS,1,INSECTICIDAS,AGROQUIMICOS,GANGSTER,,Ag;Co;TS;Va,1
0,103,CLORPIRIFOS SUMAGRO (Bidon x 20 lts),0,20,Lts.,13,AGRO MAX S.R.L.,0,0,0,95,CLORPIRIFOS,2,0,0,6,ORGANOFOSFORADOS,1,INSECTICIDAS,AGROQUIMICOS,CLORPIRIFOS,,Ag;Co;TS;Va,1.4
1,104,LORSBAN 48 E - B.Amarilla (Bid x 20 lts),0,20,Lts.,105,CORTEVA,0,1,0,95,CLORPIRIFOS,2,0,0,6,ORGANOFOSFORADOS,1,INSECTICIDAS,AGROQUIMICOS,LORSBAN,,Ag;Co;TS;Va,1.15
