Year,Week,Product,UOM,Deposit,Quantity
2020,1,41,Lts.,61,120.0
2020,1,41,Lts.,62,40.0
2020,1,41,Lts.,63,580.0
2020,1,417,Lts.,15,4.0
2020,1,42,Lts.,1,60.0
2020,1,430,Pack,1,25.0
2020,1,430,Pack,2,94.0
2020,1,430,Pack,3,16.0
2020,1,430,Pack,15,67.0
2020,1,430,Pack,61,4.0
2020,1,430,Pack,62,75.0
2020,1,430,Pack,63,32.0
2020,1,431,Lts.,10,5.0
2020,1,431,Lts.,61,20.0
2020,1,434,Kgs.,2,11.879999999999999
2020,1,434,Kgs.,3,2.16
2020,1,434,Kgs.,10,10.08
2020,1,434,Kgs.,14,1.7999999999999998
2020,1,434,Kgs.,61,1.08
2020,1,434,Kgs.,62,7.2
2020,1,434,Kgs.,63,5.76
2020,1,44,Lts.,14,40.0
2020,1,44,Lts.,63,120.0
2020,1,48,Lts.,10,20.0
2020,1,48,Lts.,61,120.0
2020,1,481,Tn.,14,0.2
2020,1,489,Lts.,3,20.0
2020,1,489,Lts.,10,160.0
2020,1,489,Lts.,14,40.0
2020,1,489,Lts.,15,860.0
2020,1,489,Lts.,61,220.0
2020,1,489,Lts.,62,750.0
2020,1,489,Lts.,63,375.0
2020,1,51,Lts.,1,75.0
2020,1,51,Lts.,3,25.0
2020,1,51,Lts.,10,40.0
2020,1,51,Lts.,61,10.0
2020,1,51,Lts.,63,105.0
2020,1,52,Lts.,3,5.0
2020,1,52,Lts.,62,60.0
2020,1,53,Kgs.,14,3.2
2020,1,53,Kgs.,61,9.2
2020,1,54,Lts.,14,20.0
2020,1,54,Lts.,15,10.0
2020,1,54,Lts.,61,70.0
2020,1,56,Kgs.,14,4.0
2020,1,56,Kgs.,15,4.0
2020,1,56,Kgs.,61,5.0
2020,1,56,Kgs.,62,4.0
2020,1,56,Kgs.,63,2.0
2020,1,59,Lts.,61,35.0
2020,1,59,Lts.,62,65.0
2020,1,60,Lts.,10,20.0
2020,1,65,Lts.,1,560.0
2020,1,65,Lts.,2,440.0
2020,1,65,Lts.,3,1300.0
2020,1,65,Lts.,4,200.0
2020,1,65,Lts.,10,2220.0
2020,1,65,Lts.,11,1000.0
2020,1,65,Lts.,14,5100.0
2020,1,65,Lts.,15,8680.0
2020,1,65,Lts.,61,4860.0
2020,1,65,Lts.,62,15180.0
2020,1,65,Lts.,63,14680.0
2020,1,68,Lts.,1,60.0
2020,1,68,Lts.,2,215.0
2020,1,68,Lts.,3,20.0
2020,1,68,Lts.,14,50.0
2020,1,68,Lts.,15,305.0
2020,1,68,Lts.,61,45.0
2020,1,68,Lts.,62,575.0
2020,1,68,Lts.,63,155.0
2020,1,69,Pack,62,14.0
2020,1,693,Lts.,62,5.0
2020,1,696,Lts.,2,29.0
2020,1,696,Lts.,15,22.0
2020,1,696,Lts.,62,6.0
2020,1,696,Lts.,98,1.0
2020,1,70,Lts.,14,100.0
2020,1,70,Lts.,62,110.0
2020,1,70,Lts.,63,40.0
2020,1,735,Lts.,4,80.0
2020,1,735,Lts.,10,60.0
2020,1,735,Lts.,15,80.0
2020,1,735,Lts.,61,360.0
2020,1,735,Lts.,62,280.0
2020,1,735,Lts.,63,200.0
2020,1,738,Bls.,61,30.0
2020,1,766,Tn.,11,5.0
2020,1,77,Lts.,15,60.0
2020,1,77,Lts.,61,60.0
2020,1,77,Lts.,63,520.0
2020,1,776,Lts.,9,20.0
2020,1,776,Lts.,62,6.0
2020,1,776,Lts.,63,5.0
2020,1,78,Kgs.,15,0.25
2020,1,78,Kgs.,61,1.0
2020,1,78,Kgs.,62,5.0
2020,1,78,Kgs.,63,0.25
2020,1,795,Bls.,15,25.0
2020,1,795,Bls.,63,70.0
2020,1,80,Lts.,15,60.0
2020,1,80,Lts.,61,20.0
2020,1,80,Lts.,63,100.0
2020,1,805,Lts.,1,320.0
2020,1,83,Lts.,1,45.0
2020,1,83,Lts.,2,35.0
2020,1,83,Lts.,3,10.0
2020,1,83,Lts.,10,35.0
2020,1,83,Lts.,11,20.0
2020,1,83,Lts.,14,5.0
2020,1,83,Lts.,15,55.0
2020,1,83,Lts.,61,25.0
2020,1,83,Lts.,62,20.0
2020,1,83,Lts.,63,70.0
2020,1,88,Lts.,61,20.0
2020,1,88,Lts.,62,850.0
2020,1,88,Lts.,63,20.0
2020,1,89,Lts.,2,20.0
2020,1,89,Lts.,61,30.0
2020,1,91,Lts.,63,45.0
2020,1,92,Lts.,2,15.0
2020,1,92,Lts.,10,60.0
2020,1,92,Lts.,15,40.0
2020,1,92,Lts.,61,25.0
2020,1,92,Lts.,62,370.0
2020,1,95,Lts.,4,120.0
2020,1,95,Lts.,14,120.0
2020,1,95,Lts.,15,40.0
2020,1,95,Lts.,62,300.0
2020,2,102,Lts.,1,7.0
2020,2,102,Lts.,2,40.0
2020,2,102,Lts.,3,27.0
2020,2,102,Lts.,10,50.0
2020,2,102,Lts.,14,112.0
2020,2,102,Lts.,15,260.0
2020,2,102,Lts.,61,25.0
2020,2,102,Lts.,62,518.0
2020,2,102,Lts.,63,300.0
2020,2,103,Kgs.,6,0.1
2020,2,103,Kgs.,62,6.2
2020,2,103,Kgs.,63,7.3
2020,2,104,Lts.,14,1.5
2020,2,104,Lts.,15,3.0
2020,2,104,Lts.,61,4.0
2020,2,104,Lts.,62,5.5
2020,2,106,Lts.,3,119.0
2020,2,106,Lts.,15,8.0
2020,2,106,Lts.,61,19.0
2020,2,106,Lts.,63,32.0
2020,2,135,Lts.,62,10.0
2020,2,137,Lts.,63,20.0
2020,2,157,Lts.,62,120.0
2020,2,158,Lts.,2,20.0
2020,2,158,Lts.,3,440.0
2020,2,158,Lts.,10,160.0
2020,2,158,Lts.,14,780.0
2020,2,158,Lts.,15,2860.0
2020,2,158,Lts.,61,200.0
2020,2,158,Lts.,62,1940.0
2020,2,158,Lts.,63,1600.0
2020,2,159,Lts.,1,40.0
2020,2,159,Lts.,2,20.0
2020,2,159,Lts.,3,1.0
2020,2,159,Lts.,7,3.0
2020,2,159,Lts.,10,57.0
2020,2,159,Lts.,14,13.0
2020,2,159,Lts.,15,109.0
2020,2,159,Lts.,22,4.0
2020,2,159,Lts.,61,36.0
2020,2,159,Lts.,62,244.0
2020,2,159,Lts.,63,22.0
2020,2,160,Lts.,1,20.0
2020,2,160,Lts.,2,320.0
2020,2,160,Lts.,3,70.0
2020,2,160,Lts.,10,80.0
2020,2,160,Lts.,15,340.0
2020,2,160,Lts.,22,100.0
2020,2,160,Lts.,61,230.0
2020,2,160,Lts.,62,580.0
2020,2,160,Lts.,63,370.0
2020,2,161,Pack,14,14.0
2020,2,161,Pack,62,77.0
2020,2,163,Lts.,63,20.0
2020,2,165,Lts.,63,5.0
2020,2,166,Lts.,1,10.0
2020,2,166,Lts.,3,3.0
2020,2,166,Lts.,7,3.0
2020,2,166,Lts.,14,2.0
2020,2,166,Lts.,15,7.0
2020,2,166,Lts.,61,4.0
2020,2,166,Lts.,62,71.0
2020,2,166,Lts.,63,84.0
2020,2,167,Lts.,2,90.0
2020,2,168,Lts.,2,380.0
2020,2,168,Lts.,10,220.0
2020,2,168,Lts.,14,20.0
2020,2,168,Lts.,15,980.0
2020,2,168,Lts.,61,740.0
2020,2,168,Lts.,62,580.0
2020,2,168,Lts.,63,940.0
2020,2,238,Unid.,63,1.0
2020,2,258,Lts.,2,60.0
2020,2,258,Lts.,3,10.0
2020,2,258,Lts.,15,40.0
2020,2,258,Lts.,61,100.0
2020,2,258,Lts.,62,60.0
2020,2,258,Lts.,63,10.0
2020,2,259,Pack,1,14.0
2020,2,282,Kgs.,3,42.0
2020,2,282,Kgs.,4,32.55
2020,2,282,Kgs.,10,1.0499999999999998
2020,2,282,Kgs.,22,6.3
2020,2,292,Pack,62,13.0
2020,2,299,Lts.,2,125.0
2020,2,299,Lts.,3,105.0
2020,2,299,Lts.,6,55.0
2020,2,299,Lts.,14,115.0
2020,2,299,Lts.,62,70.0
2020,2,299,Lts.,63,535.0
2020,2,371,Lts.,62,20.0
2020,2,377,Lts.,63,80.0
2020,2,380,Kgs.,1,165.0
2020,2,380,Kgs.,2,120.0
2020,2,380,Kgs.,3,50.0
2020,2,380,Kgs.,4,600.0
2020,2,380,Kgs.,10,90.0
2020,2,380,Kgs.,14,180.0
2020,2,380,Kgs.,15,510.0
2020,2,380,Kgs.,61,510.0
2020,2,380,Kgs.,62,815.0
2020,2,380,Kgs.,63,1320.0
2020,2,382,Unid.,62,2.0
2020,2,385,Tn.,62,0.275
2020,2,386,Lts.,22,10.0
2020,2,386,Lts.,61,35.25
2020,2,386,Lts.,63,15.0
2020,2,389,Lts.,3,20.0
2020,2,389,Lts.,10,90.0
2020,2,389,Lts.,15,60.0
2020,2,389,Lts.,61,520.0
2020,2,389,Lts.,62,160.0
2020,2,408,Unid.,1,1.0
2020,2,41,Lts.,2,40.0
2020,2,41,Lts.,14,20.0
2020,2,41,Lts.,15,280.0
2020,2,41,Lts.,62,460.0
2020,2,41,Lts.,63,1540.0
2020,2,417,Lts.,15,6.0
2020,2,42,Lts.,1,100.0
2020,2,42,Lts.,2,40.0
2020,2,42,Lts.,3,140.0
2020,2,42,Lts.,10,160.0
2020,2,42,Lts.,62,20.0
2020,2,430,Pack,1,2.0
2020,2,430,Pack,2,10.0
2020,2,430,Pack,4,25.0
2020,2,430,Pack,15,203.0
2020,2,430,Pack,61,1.0
2020,2,430,Pack,62,186.0
2020,2,430,Pack,63,40.0
2020,2,431,Lts.,10,5.0
2020,2,431,Lts.,22,5.0
2020,2,431,Lts.,61,70.0
2020,2,434,Kgs.,1,0.36
2020,2,434,Kgs.,2,20.880000000000003
2020,2,434,Kgs.,3,2.52
2020,2,434,Kgs.,7,0.72
2020,2,434,Kgs.,10,8.280000000000001
2020,2,434,Kgs.,14,3.24
2020,2,434,Kgs.,15,11.16
2020,2,434,Kgs.,61,12.959999999999999
2020,2,434,Kgs.,62,117.0
2020,2,434,Kgs.,63,37.08
2020,2,434,Kgs.,98,5.76
2020,2,437,Unid.,3,5.0
2020,2,44,Lts.,63,100.0
2020,2,48,Lts.,61,120.0
2020,2,481,Tn.,15,0.8
2020,2,481,Tn.,62,0.05
2020,2,487,Lts.,63,200.0
2020,2,489,Lts.,1,80.0
2020,2,489,Lts.,2,320.0
2020,2,489,Lts.,3,200.0
2020,2,489,Lts.,6,140.0
2020,2,489,Lts.,10,340.0
2020,2,489,Lts.,14,100.0
2020,2,489,Lts.,15,860.0
2020,2,489,Lts.,61,150.0
2020,2,489,Lts.,62,1090.0
2020,2,489,Lts.,63,2105.0
2020,2,51,Lts.,1,45.0
2020,2,51,Lts.,2,160.0
2020,2,51,Lts.,3,420.0
2020,2,51,Lts.,10,60.0
2020,2,51,Lts.,15,215.0
2020,2,51,Lts.,61,90.0
2020,2,51,Lts.,63,160.0
2020,2,52,Lts.,10,60.0
2020,2,52,Lts.,62,400.0
2020,2,52,Lts.,63,10.0
2020,2,53,Kgs.,61,8.8
2020,2,53,Kgs.,62,2.4
2020,2,54,Lts.,2,20.0
2020,2,54,Lts.,14,60.0
2020,2,54,Lts.,61,40.0
2020,2,54,Lts.,62,30.0
2020,2,54,Lts.,63,150.0
2020,2,56,Kgs.,3,3.5
2020,2,56,Kgs.,10,2.5
2020,2,56,Kgs.,14,4.5
2020,2,56,Kgs.,15,18.0
2020,2,56,Kgs.,22,1.0
2020,2,56,Kgs.,61,5.5
2020,2,56,Kgs.,62,50.5
2020,2,56,Kgs.,63,19.0
2020,2,57,Lts.,63,10.0
2020,2,59,Lts.,10,15.0
2020,2,60,Lts.,62,1.0
2020,2,65,Lts.,1,440.0
2020,2,65,Lts.,2,1860.0
2020,2,65,Lts.,3,4340.0
2020,2,65,Lts.,7,820.0
2020,2,65,Lts.,10,4140.0
2020,2,65,Lts.,11,380.0
2020,2,65,Lts.,14,4300.0
2020,2,65,Lts.,15,13620.0
2020,2,65,Lts.,22,140.0
2020,2,65,Lts.,61,5720.0
2020,2,65,Lts.,62,32100.0
2020,2,65,Lts.,63,30700.0
2020,2,663,Bls.,2,50.0
2020,2,68,Lts.,1,25.0
2020,2,68,Lts.,2,180.0
2020,2,68,Lts.,3,180.0
2020,2,68,Lts.,10,55.0
2020,2,68,Lts.,14,10.0
2020,2,68,Lts.,15,495.0
2020,2,68,Lts.,22,10.0
2020,2,68,Lts.,61,150.0
2020,2,68,Lts.,62,1965.0
2020,2,68,Lts.,63,225.0
2020,2,69,Pack,62,14.0
2020,2,696,Lts.,2,2.0
2020,2,696,Lts.,3,1.0
2020,2,696,Lts.,15,53.0
2020,2,696,Lts.,61,12.0
2020,2,70,Lts.,1,60.0
2020,2,70,Lts.,3,40.0
2020,2,70,Lts.,7,480.0
2020,2,70,Lts.,15,460.0
2020,2,70,Lts.,62,340.0
2020,2,70,Lts.,63,320.0
2020,2,711,Lts.,15,20.0
2020,2,711,Lts.,62,210.0
2020,2,719,Kgs.,61,1.72
2020,2,735,Lts.,3,60.0
2020,2,735,Lts.,14,180.0
2020,2,735,Lts.,15,40.0
2020,2,735,Lts.,62,1480.0
2020,2,735,Lts.,63,400.0
2020,2,744,Bls.,63,10.0
2020,2,758,Bls.,1,28.0
2020,2,758,Bls.,63,5.0
2020,2,761,Bls.,7,1.0
2020,2,761,Bls.,62,2.0
2020,2,766,Tn.,1,9.7
2020,2,768,Tn.,1,4.25
2020,2,77,Lts.,3,120.0
2020,2,77,Lts.,15,60.0
2020,2,77,Lts.,61,40.0
2020,2,77,Lts.,62,80.0
2020,2,77,Lts.,63,680.0
2020,2,774,Tn.,1,1.0
2020,2,776,Lts.,10,3.0
2020,2,776,Lts.,61,2.0
2020,2,776,Lts.,62,3.0
2020,2,78,Kgs.,61,0.25
2020,2,78,Kgs.,62,2.0
2020,2,788,Lts.,1,1.0
2020,2,788,Lts.,61,1.0
2020,2,79,Lts.,63,60.0
2020,2,794,Tn.,1,4.375
2020,2,795,Bls.,15,8.0
2020,2,795,Bls.,63,10.0
2020,2,80,Lts.,7,240.0
2020,2,80,Lts.,61,60.0
2020,2,80,Lts.,62,100.0
2020,2,83,Lts.,1,70.0
2020,2,83,Lts.,2,10.0
2020,2,83,Lts.,3,15.0
2020,2,83,Lts.,4,15.0
2020,2,83,Lts.,10,45.0
2020,2,83,Lts.,14,40.0
2020,2,83,Lts.,15,60.0
2020,2,83,Lts.,61,15.0
2020,2,83,Lts.,62,510.0
2020,2,83,Lts.,63,175.0
2020,2,85,Lts.,15,1.0
2020,2,85,Lts.,61,15.0
2020,2,85,Lts.,63,5.0
2020,2,88,Lts.,1,80.0
2020,2,88,Lts.,3,60.0
2020,2,88,Lts.,10,20.0
2020,2,88,Lts.,14,40.0
2020,2,88,Lts.,15,40.0
2020,2,88,Lts.,61,80.0
2020,2,88,Lts.,62,300.0
2020,2,88,Lts.,63,80.0
2020,2,89,Lts.,3,30.0
2020,2,89,Lts.,10,10.0
2020,2,89,Lts.,61,15.0
2020,2,89,Lts.,62,5.0
2020,2,89,Lts.,63,15.0
2020,2,91,Lts.,3,40.0
2020,2,91,Lts.,62,15.0
2020,2,91,Lts.,63,80.0
2020,2,92,Lts.,2,45.0
2020,2,92,Lts.,3,65.0
2020,2,92,Lts.,10,260.0
2020,2,92,Lts.,15,15.0
2020,2,92,Lts.,22,15.0
2020,2,92,Lts.,62,15.0
2020,2,92,Lts.,63,145.0
2020,2,95,Lts.,1,360.0
2020,2,95,Lts.,3,80.0
2020,2,95,Lts.,14,200.0
2020,2,95,Lts.,15,420.0
2020,2,95,Lts.,62,640.0
2020,2,95,Lts.,63,260.0
2020,3,102,Lts.,1,4.0
2020,3,102,Lts.,3,23.0
2020,3,102,Lts.,11,12.0
2020,3,102,Lts.,14,80.0
2020,3,102,Lts.,15,20.0
2020,3,102,Lts.,61,20.0
2020,3,102,Lts.,62,21.0
2020,3,102,Lts.,63,105.0
2020,3,103,Kgs.,14,1.3
2020,3,103,Kgs.,62,1.0
2020,3,103,Kgs.,63,3.2
2020,3,104,Lts.,61,1.5
2020,3,104,Lts.,98,6.5
2020,3,106,Lts.,3,9.0
2020,3,106,Lts.,15,54.0
2020,3,111,Unid.,7,1.0
2020,3,111,Unid.,10,1.0
2020,3,111,Unid.,15,2.0
2020,3,112,Pack,10,1.0
2020,3,137,Lts.,63,30.0
2020,3,157,Lts.,15,40.0
2020,3,158,Lts.,1,40.0
2020,3,158,Lts.,3,410.0
2020,3,158,Lts.,4,20.0
2020,3,158,Lts.,6,100.0
2020,3,158,Lts.,10,300.0
2020,3,158,Lts.,14,300.0
2020,3,158,Lts.,15,1220.0
2020,3,158,Lts.,61,120.0
2020,3,158,Lts.,62,940.0
2020,3,158,Lts.,63,1500.0
2020,3,158,Lts.,98,40.0
2020,3,159,Lts.,1,20.0
2020,3,159,Lts.,2,120.0
2020,3,159,Lts.,3,8.0
2020,3,159,Lts.,10,4.0
2020,3,159,Lts.,14,15.0
2020,3,159,Lts.,15,32.0
2020,3,159,Lts.,61,29.0
2020,3,159,Lts.,62,52.0
2020,3,159,Lts.,63,99.0
2020,3,160,Lts.,2,40.0
2020,3,160,Lts.,3,20.0
2020,3,160,Lts.,10,270.0
2020,3,160,Lts.,14,20.0
2020,3,160,Lts.,15,260.0
2020,3,160,Lts.,61,260.0
2020,3,160,Lts.,62,460.0
2020,3,160,Lts.,63,690.0
2020,3,160,Lts.,98,30.0
2020,3,161,Pack,1,24.0
2020,3,161,Pack,14,1.0
2020,3,161,Pack,62,35.0
2020,3,166,Lts.,1,8.0
2020,3,166,Lts.,14,10.0
2020,3,166,Lts.,15,5.0
2020,3,166,Lts.,61,18.0
2020,3,166,Lts.,62,6.0
2020,3,166,Lts.,63,22.0
2020,3,167,Lts.,62,5.0
2020,3,168,Lts.,1,440.0
2020,3,168,Lts.,10,100.0
2020,3,168,Lts.,14,160.0
2020,3,168,Lts.,15,420.0
2020,3,168,Lts.,61,620.0
2020,3,168,Lts.,62,900.0
2020,3,168,Lts.,63,340.0
2020,3,217,Bls.,3,2.0
2020,3,217,Bls.,61,15.0
2020,3,220,Lts.,61,40.0
2020,3,258,Lts.,61,20.0
2020,3,282,Kgs.,62,4.55
2020,3,294,Lts.,63,150.0
2020,3,299,Lts.,2,10.0
2020,3,299,Lts.,3,25.0
2020,3,299,Lts.,14,40.0
2020,3,299,Lts.,15,115.0
2020,3,299,Lts.,63,160.0
2020,3,377,Lts.,10,40.0
2020,3,377,Lts.,61,40.0
2020,3,377,Lts.,62,1200.0
2020,3,377,Lts.,63,260.0
2020,3,380,Kgs.,1,15.0
2020,3,380,Kgs.,2,100.0
2020,3,380,Kgs.,4,40.0
2020,3,380,Kgs.,15,70.0
2020,3,380,Kgs.,61,10.0
2020,3,380,Kgs.,62,1215.0
2020,3,382,Unid.,15,5.0
2020,3,386,Lts.,61,35.0
2020,3,386,Lts.,63,35.0
2020,3,389,Lts.,1,350.0
2020,3,389,Lts.,3,30.0
2020,3,389,Lts.,10,80.0
2020,3,389,Lts.,15,650.0
2020,3,389,Lts.,61,790.0
2020,3,389,Lts.,62,1370.0
2020,3,389,Lts.,63,205.0
2020,3,41,Lts.,1,80.0
2020,3,41,Lts.,2,260.0
2020,3,41,Lts.,10,200.0
2020,3,41,Lts.,14,80.0
2020,3,41,Lts.,15,100.0
2020,3,41,Lts.,61,480.0
2020,3,41,Lts.,62,140.0
2020,3,41,Lts.,63,1100.0
2020,3,42,Lts.,1,60.0
2020,3,42,Lts.,14,140.0
2020,3,42,Lts.,15,220.0
2020,3,430,Pack,1,8.0
2020,3,430,Pack,2,22.0
2020,3,430,Pack,4,4.0
2020,3,430,Pack,10,6.0
2020,3,430,Pack,15,129.0
2020,3,430,Pack,62,81.0
2020,3,430,Pack,63,13.0
2020,3,431,Lts.,3,20.0
2020,3,431,Lts.,61,20.0
2020,3,434,Kgs.,1,3.6
2020,3,434,Kgs.,3,0.36
2020,3,434,Kgs.,4,2.52
2020,3,434,Kgs.,7,5.04
2020,3,434,Kgs.,14,3.6
2020,3,434,Kgs.,15,14.76
2020,3,434,Kgs.,62,26.64
2020,3,434,Kgs.,63,9.72
2020,3,48,Lts.,15,60.0
2020,3,481,Tn.,7,0.1
2020,3,481,Tn.,63,5.0
2020,3,489,Lts.,1,180.0
2020,3,489,Lts.,2,400.0
2020,3,489,Lts.,3,500.0
2020,3,489,Lts.,4,40.0
2020,3,489,Lts.,6,140.0
2020,3,489,Lts.,10,20.0
2020,3,489,Lts.,14,440.0
2020,3,489,Lts.,15,160.0
2020,3,489,Lts.,61,480.0
2020,3,489,Lts.,62,1490.0
2020,3,489,Lts.,63,480.0
2020,3,51,Lts.,61,50.0
2020,3,51,Lts.,62,190.0
2020,3,51,Lts.,63,530.0
2020,3,51,Lts.,98,80.0
2020,3,53,Kgs.,14,5.2
2020,3,53,Kgs.,61,12.0
2020,3,53,Kgs.,63,4.0
2020,3,54,Lts.,1,40.0
2020,3,54,Lts.,10,120.0
2020,3,54,Lts.,61,40.0
2020,3,54,Lts.,62,30.0
2020,3,54,Lts.,63,70.0
2020,3,56,Kgs.,3,0.5
2020,3,56,Kgs.,4,5.0
2020,3,56,Kgs.,14,5.0
2020,3,56,Kgs.,15,9.5
2020,3,56,Kgs.,62,6.0
2020,3,56,Kgs.,63,6.0
2020,3,63,Lts.,62,20.0
2020,3,65,Lts.,1,1440.0
2020,3,65,Lts.,2,1240.0
2020,3,65,Lts.,3,1920.0
2020,3,65,Lts.,4,140.0
2020,3,65,Lts.,6,3000.0
2020,3,65,Lts.,7,160.0
2020,3,65,Lts.,10,1480.0
2020,3,65,Lts.,14,1880.0
2020,3,65,Lts.,15,5080.0
2020,3,65,Lts.,61,14480.0
2020,3,65,Lts.,62,19820.0
2020,3,65,Lts.,63,22460.0
2020,3,65,Lts.,98,280.0
2020,3,666,Lts.,3,85.0
2020,3,68,Lts.,1,15.0
2020,3,68,Lts.,2,45.0
2020,3,68,Lts.,3,60.0
2020,3,68,Lts.,6,15.0
2020,3,68,Lts.,10,25.0
2020,3,68,Lts.,14,160.0
2020,3,68,Lts.,15,240.0
2020,3,68,Lts.,61,70.0
2020,3,68,Lts.,62,1025.0
2020,3,68,Lts.,63,165.0
2020,3,68,Lts.,98,5.0
2020,3,69,Pack,10,14.0
2020,3,69,Pack,62,3.0
2020,3,693,Lts.,6,8.0
2020,3,693,Lts.,10,20.0
2020,3,696,Lts.,1,6.0
2020,3,696,Lts.,2,6.0
2020,3,696,Lts.,3,10.0
2020,3,696,Lts.,10,4.0
2020,3,696,Lts.,15,29.0
2020,3,696,Lts.,61,20.0
2020,3,696,Lts.,63,3.0
2020,3,696,Lts.,98,2.0
2020,3,70,Lts.,3,60.0
2020,3,70,Lts.,6,60.0
2020,3,70,Lts.,62,210.0
2020,3,70,Lts.,63,20.0
2020,3,711,Lts.,3,75.0
2020,3,711,Lts.,10,15.0
2020,3,711,Lts.,61,400.0
2020,3,735,Lts.,1,40.0
2020,3,735,Lts.,2,120.0
2020,3,735,Lts.,3,20.0
2020,3,735,Lts.,14,120.0
2020,3,735,Lts.,15,20.0
2020,3,735,Lts.,62,400.0
2020,3,735,Lts.,63,80.0
2020,3,758,Bls.,15,123.0
2020,3,77,Lts.,6,140.0
2020,3,77,Lts.,62,540.0
2020,3,77,Lts.,63,100.0
2020,3,774,Tn.,1,0.35
2020,3,776,Lts.,1,1.0
2020,3,776,Lts.,7,1.0
2020,3,776,Lts.,10,2.0
2020,3,776,Lts.,62,20.0
2020,3,78,Kgs.,11,0.25
2020,3,78,Kgs.,61,3.0
2020,3,78,Kgs.,62,0.25
2020,3,78,Kgs.,63,1.0
2020,3,792,Lts.,2,45.0
2020,3,792,Lts.,15,65.0
2020,3,792,Lts.,61,10.0
2020,3,792,Lts.,63,30.0
2020,3,795,Bls.,7,14.0
2020,3,795,Bls.,15,22.0
2020,3,795,Bls.,62,14.0
2020,3,796,Bls.,63,3.0
2020,3,797,Bls.,15,20.0
2020,3,80,Lts.,2,40.0
2020,3,80,Lts.,14,20.0
2020,3,80,Lts.,15,180.0
2020,3,80,Lts.,62,340.0
2020,3,83,Lts.,1,30.0
2020,3,83,Lts.,2,50.0
2020,3,83,Lts.,3,35.0
2020,3,83,Lts.,6,20.0
2020,3,83,Lts.,10,10.0
2020,3,83,Lts.,14,205.0
2020,3,83,Lts.,15,15.0
2020,3,83,Lts.,61,50.0
2020,3,83,Lts.,62,195.0
2020,3,83,Lts.,63,200.0
2020,3,85,Lts.,63,1.0
2020,3,88,Lts.,4,40.0
2020,3,88,Lts.,10,240.0
2020,3,88,Lts.,62,255.0
2020,3,89,Lts.,15,5.0
2020,3,91,Lts.,6,60.0
2020,3,91,Lts.,14,5.0
2020,3,92,Lts.,2,100.0
2020,3,92,Lts.,3,5.0
2020,3,92,Lts.,4,10.0
